HomeTeam,AwayTeam,Max,Min,Wind,Rain,Humidity,Cloud,FTR
Arsenal,Everton,5,0,14,0.0,0.9,0.14,2
Chelsea,ManC,7,2,22,2.9,0.9,0.43,2
ManC,Arsenal,3,0,13,1.5,0.86,0.33,2
Tottenham,Chelsea,10,8,17,0.1,0.9400000000000001,0.45,1
ManC,Liverpool,9,3,36,15.9,0.87,0.76,2
Tottenham,Everton,10,5,15,0.0,0.9400000000000001,0.53,2
Arsenal,ManU,10,4,23,0.0,0.87,0.38,0
ManC,Tottenham,8,4,32,0.8,0.89,0.73,2
Everton,ManC,3,3,33,0.9,0.74,0.33,2
Chelsea,ManU,2,-1,8,13.7,0.9500000000000001,0.81,1
Liverpool,Tottenham,5,3,21,1.2,0.86,0.75,1
Everton,Chelsea,1,0,15,0.0,0.71,0.24,2
ManU,Liverpool,1,-6,9,0.1,0.89,0.3,2
Arsenal,Tottenham,12,2,7,0.0,0.85,0.3,2
Liverpool,Arsenal,8,6,29,0.7,0.93,0.62,0
Tottenham,ManU,8,2,19,18.8,0.97,0.72,0
Everton,Tottenham,9,8,28,0.0,0.91,0.61,2
Liverpool,Everton,7,6,8,0.0,0.87,0.19,2
Everton,Arsenal,9,8,9,0.0,0.8200000000000001,0.19,0
ManC,Chelsea,12,2,7,0.1,0.87,0.56,2
Chelsea,Tottenham,18,7,9,0.1,0.81,0.05,1
Arsenal,ManC,12,2,11,1.6,0.91,0.8200000000000001,2
Arsenal,Chelsea,12,3,11,3.1,0.85,0.58,1
ManU,Everton,10,2,11,2.7,0.91,0.81,1
ManC,ManU,15,7,20,0.1,0.85,0.46,2
Liverpool,Chelsea,11,9,25,7.6,0.92,0.55,2
Everton,ManU,18,17,11,0.0,0.88,0.26,2
Liverpool,ManC,17,16,26,2.9,0.78,0.45,1
Liverpool,Arsenal,18,16,20,0.6,0.87,0.54,0
Liverpool,ManU,13,12,23,3.2,0.65,0.47000000000000003,0
ManC,Arsenal,13,5,16,1.7,0.85,0.51,1
Arsenal,Chelsea,15,7,13,0.0,0.78,0.42,0
ManU,Tottenham,12,7,18,1.1,0.85,0.51,0
Tottenham,Chelsea,14,8,6,2.4,0.9,0.5700000000000001,0
Chelsea,ManU,9,0,14,1.4,0.9,0.77,0
Everton,Liverpool,11,8,36,3.6,0.8,0.78,1
ManU,Arsenal,7,1,13,2.7,0.9,0.42,2
Chelsea,Liverpool,9,3,9,0.0,0.91,0.22,1
ManC,Tottenham,9,3,12,0.8,0.91,0.46,2
Arsenal,Tottenham,11,8,13,0.2,0.93,0.71,2
Chelsea,ManC,10,5,27,2.0,0.88,0.55,1
Everton,Arsenal,9,8,36,0.7,0.74,0.65,1
Tottenham,Liverpool,6,2,21,0.2,0.93,0.68,2
ManC,Everton,3,-1,14,2.9,0.9,0.28,1
