HomeTeam,AwayTeam,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
Liverpool,Tottenham,2,2,0,2,17,7,9,2,14,14,10,3,3,4,0,0
Liverpool,Arsenal,2,2,0,2,18,7,7,3,8,15,9,3,1,2,0,0
Tottenham,Everton,2,1,0,2,20,8,7,4,9,14,7,2,1,2,0,0
ManC,Liverpool,1,0,0,1,13,13,3,4,14,7,9,8,3,3,0,0
Liverpool,Everton,2,2,1,2,10,9,6,4,17,10,2,3,1,3,0,0
Arsenal,ManC,1,1,2,0,8,14,3,5,8,15,3,8,3,2,0,0
ManU,Everton,1,0,1,0,18,11,3,4,10,18,6,5,1,4,0,1
Chelsea,ManC,2,2,1,2,10,17,4,7,10,14,2,9,1,3,0,0
ManU,Chelsea,2,1,0,2,9,5,3,0,16,20,1,3,3,3,0,0
ManC,ManU,1,0,0,1,19,3,6,1,10,8,7,4,1,0,0,1
Everton,Chelsea,0,0,0,1,12,11,4,5,13,11,2,4,3,4,0,0
Tottenham,Arsenal,2,0,0,1,20,12,11,4,7,15,14,5,1,3,0,0
Arsenal,ManU,2,0,0,1,9,10,4,4,14,10,5,9,1,0,0,0
Tottenham,ManU,2,1,0,2,14,8,7,2,14,15,8,3,1,2,0,0
Arsenal,Everton,2,2,0,2,17,22,9,7,10,15,4,6,2,4,1,0
Tottenham,Chelsea,0,0,1,0,18,9,6,2,14,21,14,3,3,3,0,0
ManC,Everton,1,0,1,0,19,7,6,2,7,9,7,1,1,2,1,1
Chelsea,Everton,2,2,0,2,18,7,7,0,12,7,6,3,2,2,0,0
Liverpool,Arsenal,2,2,0,2,18,8,10,0,6,9,4,3,2,4,0,0
Everton,Tottenham,0,0,2,0,12,15,1,6,14,14,7,3,3,1,0,0
ManC,Liverpool,2,2,0,2,13,10,7,3,10,9,8,3,2,2,0,1
Chelsea,Arsenal,1,0,0,1,13,11,4,2,11,15,5,1,1,3,1,0
ManU,Everton,2,1,0,2,16,7,7,3,15,14,4,1,1,1,0,0
Chelsea,ManC,0,0,0,1,4,17,2,6,8,13,4,8,0,2,0,0
Liverpool,ManU,1,0,0,1,19,6,5,1,7,13,7,3,0,2,0,0
Everton,Arsenal,0,1,1,1,8,30,3,14,14,14,0,7,1,1,1,0
Tottenham,Liverpool,2,3,1,2,14,12,6,7,2,8,3,5,0,1,0,0
ManU,Tottenham,2,0,0,1,11,13,3,4,12,14,6,3,1,0,0,0
Chelsea,ManU,2,0,0,1,18,10,8,2,16,20,4,7,1,3,0,0
ManC,Arsenal,2,1,0,2,9,6,5,3,15,15,5,5,1,6,0,0
Arsenal,Tottenham,2,2,0,2,14,14,5,4,11,16,7,4,4,1,0,0
Liverpool,Chelsea,1,0,0,1,16,11,4,3,10,7,7,8,0,0,0,0
Arsenal,ManU,0,0,2,0,33,8,15,4,11,10,12,1,3,2,0,1
Liverpool,Everton,1,1,0,2,23,3,3,2,8,11,12,1,1,3,0,0
ManU,ManC,0,1,1,1,8,14,5,7,16,10,2,8,4,2,0,0
ManC,Tottenham,2,1,0,2,20,7,11,2,13,20,5,1,2,4,0,0
Arsenal,Liverpool,1,0,1,0,11,14,4,9,9,11,7,8,1,0,0,0
Everton,Chelsea,1,0,0,1,5,25,0,8,8,4,2,7,3,0,0,0
Everton,ManU,0,0,0,1,12,21,0,6,11,10,6,6,2,0,0,0
Arsenal,Chelsea,1,0,0,1,14,19,6,6,11,11,10,8,3,2,0,0
Tottenham,Everton,2,1,0,2,20,7,10,0,11,15,3,3,0,2,0,0
Liverpool,ManC,2,1,1,1,16,11,7,4,10,7,5,6,2,3,0,0
Tottenham,ManU,2,2,0,2,22,6,6,3,10,13,6,3,2,2,0,0
Arsenal,Everton,2,4,0,2,15,11,7,2,8,8,4,6,2,0,0,0
Liverpool,Tottenham,1,1,0,2,9,13,3,6,15,9,3,7,3,1,0,0
Tottenham,Arsenal,2,0,0,1,18,6,6,1,13,9,10,2,2,1,0,0
ManU,Chelsea,2,1,1,1,10,14,5,7,13,12,3,4,2,2,0,0
Arsenal,ManC,0,0,3,0,10,9,5,5,11,11,6,1,1,1,0,0
ManC,Chelsea,2,0,0,1,13,3,3,0,8,9,5,2,2,1,0,0
ManU,Liverpool,2,2,0,2,5,14,2,2,10,16,1,13,2,1,0,0
Everton,ManC,0,0,3,0,6,18,2,4,10,8,2,11,0,0,0,0
Chelsea,Tottenham,0,1,1,1,14,12,4,7,4,11,5,5,0,1,0,0
Everton,Liverpool,1,0,0,1,6,10,1,3,12,7,3,2,0,0,0,0
ManC,ManU,0,2,0,2,20,5,6,4,17,9,8,4,6,3,0,0
Tottenham,ManC,0,1,2,0,8,17,3,6,11,12,5,7,3,4,0,0
ManU,Arsenal,2,1,0,2,17,8,3,3,12,7,9,0,0,1,0,0
Chelsea,Liverpool,2,1,0,2,12,10,4,5,12,9,3,1,3,2,0,0
Arsenal,ManC,0,0,1,0,9,17,3,8,11,14,2,9,2,2,0,0
Chelsea,Arsenal,2,2,2,1,24,15,11,6,12,9,5,1,0,2,0,0
ManU,Tottenham,0,0,0,1,23,9,5,5,11,16,5,2,2,4,0,0
Tottenham,Liverpool,0,0,1,0,11,17,3,10,17,16,5,4,0,0,0,0
Arsenal,Everton,2,0,0,1,9,9,5,6,17,12,5,9,2,1,0,0
Chelsea,Liverpool,1,1,0,2,10,13,4,6,7,9,4,4,0,2,0,0
Liverpool,ManC,1,0,0,1,7,6,2,2,10,10,2,6,1,3,0,0
Chelsea,ManU,1,1,0,2,21,7,6,4,9,17,5,3,2,5,0,0
ManU,Everton,2,1,0,2,14,14,10,6,15,12,8,4,2,1,0,0
Tottenham,ManC,0,0,1,0,4,13,1,6,13,13,3,6,2,2,0,0
Arsenal,Liverpool,1,0,0,1,12,13,4,4,7,7,5,8,1,1,0,0
Chelsea,Everton,1,0,0,1,15,6,4,1,7,11,5,5,4,3,0,0
ManC,ManU,2,1,0,2,17,6,5,1,12,12,5,1,1,1,0,0
Tottenham,Chelsea,2,2,0,2,18,13,9,2,19,12,4,4,0,3,0,0
Arsenal,Tottenham,2,1,2,0,22,11,7,6,15,17,8,5,3,3,0,1
Liverpool,Everton,2,0,0,1,16,9,3,3,12,7,8,1,3,2,0,0
ManU,Arsenal,1,1,1,1,10,9,7,4,13,10,4,4,3,3,0,0
Chelsea,ManC,2,1,0,2,8,14,5,4,12,11,1,13,2,0,0,0
ManC,Everton,2,1,0,2,13,9,5,2,7,9,6,2,1,2,0,0
Liverpool,ManU,2,1,1,1,36,6,11,2,6,14,13,2,0,2,0,0
Everton,Tottenham,0,1,3,0,10,17,3,8,13,9,2,1,0,2,0,0
Liverpool,Arsenal,2,4,1,2,15,8,10,2,8,13,5,3,1,2,0,0
ManC,Liverpool,2,1,0,2,9,7,4,5,12,7,2,1,4,2,0,0
Tottenham,ManU,0,0,1,0,21,13,11,8,8,8,7,4,1,2,0,0
Arsenal,Chelsea,2,2,0,2,13,13,5,1,13,15,5,6,0,2,0,0
ManC,Arsenal,2,2,1,2,19,4,12,2,11,8,4,2,1,1,0,0
Everton,ManC,0,0,1,0,4,15,1,4,12,6,5,6,1,1,0,0
ManC,Chelsea,2,4,0,2,15,12,9,4,9,13,2,2,1,2,0,0
ManU,Liverpool,1,0,0,1,6,7,3,1,15,17,3,7,1,3,0,0
Chelsea,Tottenham,2,0,0,1,11,9,1,0,7,14,2,2,1,1,0,0
Tottenham,Arsenal,1,0,1,0,10,9,3,4,15,14,3,4,3,2,0,1
Everton,Liverpool,1,0,0,1,7,10,3,3,12,10,3,7,1,2,0,0
Arsenal,ManU,2,1,0,2,14,14,3,4,12,18,5,2,2,2,0,0
Everton,Chelsea,2,0,0,1,15,16,8,5,17,9,3,4,1,2,0,0
Liverpool,Tottenham,2,1,0,2,14,11,3,2,5,8,10,3,0,1,0,0
Everton,Arsenal,2,1,0,2,23,7,6,2,8,9,9,6,1,4,0,0
Liverpool,Chelsea,2,0,0,1,15,6,7,3,5,9,9,2,0,1,0,0
ManC,Tottenham,2,1,0,2,15,10,4,4,11,11,4,4,1,2,0,0
Everton,ManU,2,2,0,2,15,7,8,1,11,7,10,2,1,1,0,0
ManU,ManC,0,0,0,1,12,8,1,5,10,10,1,1,2,2,0,0
ManU,Chelsea,1,1,1,1,7,16,5,3,9,14,6,6,3,2,0,0
Tottenham,Everton,1,1,0,2,11,17,3,9,10,13,7,4,0,2,0,0
