HomeTeam,AwayTeam,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
Arsenal,Liverpool,1,0,0,1,12,9,6,5,13,13,10,3,2,4,0,0
Tottenham,Arsenal,1,2,3,0,16,13,9,9,8,13,7,6,0,3,0,0
ManU,Everton,2,0,0,1,21,5,12,3,10,9,13,1,1,2,0,0
Chelsea,Tottenham,2,1,1,1,16,12,10,7,11,11,6,5,3,1,0,0
Arsenal,ManU,2,0,0,1,9,11,2,7,15,7,3,6,2,3,0,0
Everton,ManC,2,0,1,0,10,12,6,7,13,15,11,6,4,2,0,0
ManU,Chelsea,2,2,0,2,13,19,8,11,12,14,7,2,2,4,0,0
ManC,Tottenham,2,1,0,2,7,14,4,7,7,8,2,8,1,1,0,0
Liverpool,Tottenham,0,0,1,0,10,8,2,4,13,7,11,5,2,1,0,0
Everton,Chelsea,2,0,0,1,11,19,3,9,12,14,6,5,3,2,1,0
Arsenal,Liverpool,0,0,0,1,10,13,6,8,11,6,9,5,2,2,1,0
ManU,Tottenham,2,0,0,1,27,20,21,12,12,9,11,3,1,2,0,0
ManU,Arsenal,2,3,1,2,25,19,15,13,9,7,3,5,2,3,0,1
Tottenham,ManC,0,0,2,0,15,22,10,12,11,9,10,5,2,4,0,0
ManU,Chelsea,2,3,0,2,12,20,7,9,11,12,4,10,2,3,0,0
Tottenham,Liverpool,2,1,0,2,24,5,16,2,10,9,4,1,1,4,0,2
ManC,Everton,2,0,0,1,18,7,8,3,9,13,7,5,1,5,0,0
Everton,Liverpool,0,0,0,1,12,15,4,9,15,9,5,9,1,1,1,0
Tottenham,Arsenal,2,1,0,2,16,13,8,7,11,8,9,7,2,1,0,0
Chelsea,Everton,2,2,0,2,7,9,5,5,13,11,2,2,2,2,0,0
Liverpool,ManU,1,0,0,1,14,10,8,3,8,11,8,3,1,3,0,0
ManU,ManC,0,0,1,0,12,19,8,12,15,11,7,4,4,4,1,0
Chelsea,Arsenal,0,2,1,2,12,13,10,8,7,18,3,2,2,3,0,0
Everton,ManU,0,0,1,0,18,7,11,6,12,8,4,1,3,0,0,0
Chelsea,Liverpool,0,0,1,0,18,9,5,3,13,11,6,5,3,2,0,0
Liverpool,ManC,1,1,1,1,17,7,9,3,11,13,8,5,1,4,0,1
Arsenal,Everton,2,0,0,1,12,7,7,1,7,14,7,4,2,2,0,0
Chelsea,ManC,2,1,1,1,13,7,7,4,11,18,5,1,4,2,0,1
ManC,Arsenal,2,0,0,1,15,12,9,8,13,10,4,6,2,3,0,0
Tottenham,Chelsea,1,1,1,1,16,20,10,10,14,8,7,4,2,2,0,0
ManC,Liverpool,2,2,0,2,10,18,8,10,13,7,5,6,1,2,1,0
Tottenham,Everton,2,1,0,2,14,11,7,4,5,15,6,4,1,3,0,0
Arsenal,ManU,0,0,1,0,12,9,6,5,15,6,0,5,5,2,0,0
ManC,Tottenham,2,0,0,1,13,12,7,7,7,10,9,4,2,1,0,0
Everton,ManC,2,0,0,1,9,17,4,11,12,9,3,9,1,2,0,0
Chelsea,ManU,1,1,0,2,19,14,10,10,14,13,6,6,2,1,0,0
